producao_id,nomeartigo,pesquisador_nome,anoartigo,relevancia
1,Correlation Between Transport and Occurrence of  Dengue Cases in Bahia,Hugo Saba Pereira Cardoso,2014.0,0.6079271
3,Spatio-temporal correlation networks of dengue in the state of Bahia,Hugo Saba Pereira Cardoso,2014.0,0.6079271
6,Self-affinity in the dengue fever time series,Hugo Saba Pereira Cardoso,2016.0,0.6079271
14,Nonlocal dispersal of dengue in the state of Bahia,Hugo Saba Pereira Cardoso,2018.0,0.6079271
16,Self-affinity and self-organized criticality applied to the relationship between the economic arrangements and the dengue fever spread in Bahia,Hugo Saba Pereira Cardoso,2018.0,0.6079271
22,"Relevance of transportation to correlations among criticality, physical means of propagation, and distribution of dengue fever cases in the state of Bahia",Hugo Saba Pereira Cardoso,2018.0,0.6079271
29,"Spatial-temporal Correlation of Dengue Fever and Climatic Variables in the City of São Paulo, Brazil",Hugo Saba Pereira Cardoso,2021.0,0.6079271
37,A spatio-temporal analysis of dengue spread in a Brazilian dry climate region,Hugo Saba Pereira Cardoso,2021.0,0.6079271
49,"Network analysis of spreading of dengue, Zika and chikungunya in the state of Bahia based on notified, confirmed and discarded cases",Hugo Saba Pereira Cardoso,2022.0,0.6079271
52,Paradox between adequate sanitation and rainfall in dengue fever cases,Hugo Saba Pereira Cardoso,2023.0,0.6079271
